rootX,rootY,rootZ,neckX,neckY,neckZ,headX,headY,headZ,torsoX,torsoY,torsoZ,lshoulderX,lshoulderY,lshoulderZ,lelbowX,lelbowY,lelbowZ,lwristX,lwristY,lwristZ,lhandX,lhandY,lhandZ,rshoulderX,rshoulderY,rshoulderZ,relbowX,relbowY,relbowZ,rwristX,rwristY,rwristZ,rhandX,rhandY,rhandZ
0,1.05756,0.0411395,0,1.05756,0.0411395,0,1.25555,0.0126672,0,0.65751,0.0411395,0.175357,1.02075,0.0585465,0.242156,0.869688,-0.0542716,0.225901,0.890468,0.144006,0.217773,0.900859,0.243145,-0.175357,1.02075,0.0585465,-0.203348,0.823698,0.0386266,-0.0562817,0.769289,0.162809,0.0172519,0.742085,0.2249
0,1.05756,0.0411395,0,1.05756,0.0411395,0,1.25555,0.0126596,0,0.65751,0.0411395,0.175357,1.02075,0.0585465,0.242186,0.869741,-0.054325,0.225795,0.890268,0.143968,0.217599,0.900532,0.243114,-0.175357,1.02075,0.0585465,-0.203345,0.823703,0.0385679,-0.0563239,0.769342,0.162824,0.0171872,0.742161,0.224952
0.00054362,1.0581,0.0411502,0.00054362,1.0581,0.0411502,2.89542e-06,1.25604,0.0123595,0.00054362,0.65805,0.0411502,0.175901,1.02129,0.0585572,0.24257,0.869961,-0.0539802,0.225871,0.891643,0.144164,0.217522,0.902485,0.243236,-0.174813,1.02129,0.0585572,-0.203388,0.824263,0.0392311,-0.0555993,0.769768,0.162515,0.0182955,0.742521,0.224157
0.00160118,1.05971,0.0410734,0.00160118,1.05971,0.0410734,-0.000543805,1.25744,0.0109532,0.00160118,0.65966,0.0410734,0.176958,1.0229,0.0584804,0.243562,0.870858,-0.0531305,0.225032,0.896033,0.144437,0.215766,0.908621,0.243221,-0.173756,1.0229,0.0584804,-0.204047,0.825962,0.0409427,-0.0541575,0.771247,0.161563,0.0207877,0.743889,0.221874
0.00346373,1.06317,0.0409772,0.00346373,1.06317,0.0409772,-0.0021474,1.26042,0.00824608,0.00346373,0.66312,0.0409772,0.178821,1.02636,0.0583842,0.244956,0.872487,-0.0509729,0.222671,0.906502,0.144875,0.211529,0.92351,0.242799,-0.171893,1.02636,0.0583842,-0.205658,0.829664,0.0449547,-0.0514059,0.774408,0.159686,0.0257204,0.74678,0.217051
0.00550309,1.06922,0.04061,0.00550309,1.06922,0.04061,-0.00587826,1.26561,0.0043771,0.00550309,0.66917,0.04061,0.18086,1.03241,0.058017,0.246455,0.875763,-0.0476666,0.217858,0.922803,0.144634,0.203559,0.946322,0.240785,-0.169854,1.03241,0.058017,-0.208483,0.836261,0.0514428,-0.048525,0.779983,0.157538,0.0314543,0.751844,0.210587
0.00642137,1.07724,0.0399139,0.00642137,1.07724,0.0399139,-0.0116408,1.27261,0.00101969,0.00642137,0.67719,0.0399139,0.181778,1.04043,0.0573209,0.246804,0.880322,-0.0434112,0.210546,0.94189,0.143417,0.192417,0.972675,0.236831,-0.168936,1.04043,0.0573209,-0.212527,0.845233,0.0600822,-0.0470151,0.787431,0.156388,0.0357414,0.75853,0.20454
0.00495947,1.08621,0.038991,0.00495947,1.08621,0.038991,-0.0181012,1.28117,0.000684127,0.00495947,0.68616,0.038991,0.180316,1.0494,0.056398,0.245471,0.885818,-0.0384996,0.201316,0.958671,0.142477,0.179238,0.995098,0.232966,-0.170398,1.0494,0.056398,-0.21734,0.855395,0.0693669,-0.048256,0.795914,0.15815,0.0362866,0.766173,0.202542
0.00186255,1.09518,0.0376742,0.00186255,1.09518,0.0376742,-0.0234033,1.2906,0.00325802,0.00186255,0.69513,0.0376742,0.17722,1.05837,0.0550812,0.243439,0.891045,-0.0322528,0.190936,0.970051,0.143848,0.164684,1.00955,0.231899,-0.173494,1.05837,0.0550812,-0.221918,0.865662,0.0780735,-0.0514518,0.804423,0.162933,0.0337818,0.773804,0.205362
-0.00186255,1.1032,0.0362262,-0.00186255,1.1032,0.0362262,-0.0270179,1.29939,0.00646723,-0.00186255,0.70315,0.0362262,0.173494,1.06639,0.0536332,0.242003,0.894979,-0.0234039,0.181341,0.97709,0.148608,0.15101,1.01815,0.234614,-0.17722,1.06639,0.0536332,-0.225551,0.874975,0.0857913,-0.0543614,0.812456,0.168226,0.0312337,0.781196,0.209444
-0.00495947,1.10924,0.0349444,-0.00495947,1.10924,0.0349444,-0.0299052,1.30584,0.00784014,-0.00495947,0.70919,0.0349444,0.170398,1.07243,0.0523514,0.242038,0.896521,-0.0103662,0.172653,0.982474,0.156391,0.137961,1.02545,0.239769,-0.180316,1.07243,0.0523514,-0.227812,0.882175,0.0918103,-0.0557305,0.818949,0.171812,0.0303108,0.787336,0.211813
-0.00682943,1.11284,0.0344457,-0.00682943,1.11284,0.0344457,-0.0336151,1.30925,0.00770895,-0.00682943,0.71279,0.0344457,0.168528,1.07603,0.0518527,0.243143,0.896201,0.00598275,0.165034,0.987625,0.165828,0.125979,1.03334,0.245751,-0.182186,1.07603,0.0518527,-0.2291,0.886704,0.0961787,-0.0558117,0.823173,0.173281,0.0308331,0.791407,0.211833
-0.00764789,1.11444,0.0353375,-0.00764789,1.11444,0.0353375,-0.038892,1.31007,0.00774051,-0.00764789,0.71439,0.0353375,0.167709,1.07763,0.0527445,0.244643,0.895132,0.0247168,0.156994,0.992724,0.175725,0.11317,1.04152,0.25123,-0.183005,1.07763,0.0527445,-0.229913,0.8889,0.0995455,-0.0554507,0.825287,0.173884,0.0317811,0.79348,0.211053
-0.00852865,1.11499,0.0379372,-0.00852865,1.11499,0.0379372,-0.0449546,1.30948,0.00868522,-0.00852865,0.71494,0.0379372,0.166828,1.07818,0.0553442,0.245563,0.894612,0.0446892,0.148284,0.998369,0.185335,0.0996442,1.05025,0.255658,-0.183886,1.07818,0.0553442,-0.230901,0.889808,0.103462,-0.0549437,0.826044,0.174054,0.0330355,0.794162,0.209349
-0.0111116,1.11512,0.041981,-0.0111116,1.11512,0.041981,-0.050713,1.3084,0.00905639,-0.0111116,0.71507,0.041981,0.164245,1.07831,0.059388,0.243991,0.894947,0.0647174,0.138335,1.00475,0.194291,0.085507,1.05966,0.259079,-0.186469,1.07831,0.059388,-0.232239,0.889762,0.108016,-0.0542267,0.826072,0.173325,0.0347798,0.794227,0.20598
