rootX,rootY,rootZ,neckX,neckY,neckZ,headX,headY,headZ,torsoX,torsoY,torsoZ,lshoulderX,lshoulderY,lshoulderZ,lelbowX,lelbowY,lelbowZ,lwristX,lwristY,lwristZ,lhandX,lhandY,lhandZ,rshoulderX,rshoulderY,rshoulderZ,relbowX,relbowY,relbowZ,rwristX,rwristY,rwristZ,rhandX,rhandY,rhandZ
0,0,0,-0.00381868,-0.00161064,0.302552,0,0,0,0,0,0,-0.220915,-0.266255,-0.332869,1.95397e-08,-0.223514,-1.35225e-12,0,0,0,0,0,0,0.846333,0.0221314,-0.532134,0,-0.154548,0,0,0,0,0,0,0
0,0,0,-1.54331,-0.00522213,2.09327,0,0,0,0,0,0,0.306645,-1.53415,-0.608043,2.75298e-07,-3.14904,5.7554e-13,0,0,0,0,0,0,5.08973,-0.196859,-3.36482,0,-0.237412,0,0,0,0,0,0,0
0,0,0,-4.54877,0.0285201,4.97089,0,0,0,0,0,0,1.83394,-3.88039,-1.14489,9.21639e-07,-10.5423,1.84741e-12,0,0,0,0,0,0,12.1179,-0.659004,-7.92947,0,0.237456,0,0,0,0,0,0,0
0,0,0,-6.36017,0.218469,8.81469,0,0,0,0,0,0,3.86741,-6.86881,-2.46809,1.58381e-06,-18.1167,-5.91172e-12,0,0,0,0,0,0,18.3427,-0.569403,-12.8011,0,0.0609523,0,0,0,0,0,0,0
0,0,0,-4.41018,0.508097,10.454,0,0,0,0,0,0,7.90888,-7.99349,-2.21959,1.45465e-06,-16.6392,-3.52429e-12,0,0,0,0,0,0,16.6906,0.486341,-14.3562,0,-1.01658,0,0,0,0,0,0,0
0,0,0,4.13134,0.164716,3.95231,0,0,0,0,0,0,9.93321,-6.00609,0.18945,2.88869e-07,-3.30423,8.52296e-12,0,0,0,0,0,0,4.39447,2.82572,-9.35611,0,-2.89484,0,0,0,0,0,0,0
0,0,0,14.8694,-1.17868,-7.21822,0,0,0,0,0,0,11.1812,-4.51062,3.62303,-1.46472e-06,16.7544,4.03588e-12,0,0,0,0,0,0,-12.4351,5.18361,-0.994633,0,-6.05637,0,0,0,0,0,0,0
0,0,0,15.5989,-1.87277,-13.3666,0,0,0,0,0,0,8.1919,-6.88527,6.41016,-2.65518e-06,30.3717,-6.9349e-12,0,0,0,0,0,0,-17.8523,5.51058,4.0558,0,-7.11768,0,0,0,0,0,0,0
0,0,0,3.6136,-0.576899,-10.5242,0,0,0,0,0,0,-3.0913,-12.501,8.62244,-2.31851e-06,26.5207,-4.3201e-12,0,0,0,0,0,0,-8.6352,3.59338,6.16763,0,-2.70001,0,0,0,0,0,0,0
0,0,0,-8.88535,1.10162,-0.565012,0,0,0,0,0,0,-9.22638,-15.277,8.61923,-1.01199e-06,11.5759,7.84439e-12,0,0,0,0,0,0,-0.358592,-0.847806,8.49251,0,4.21489,0,0,0,0,0,0,0
