RootX,RootY,RootZ,neckX,neckY,neckZ,headX,headY,headZ,torsoX,torsoY,torsoZ,lshoulderX,lshoulderY,lshoulderZ,lelbowX,lelbowY,lelbowZ,lwristX,lwristY,lwristZ,lhandX,lhandY,lhandZ,rshoulderX,rshoulderY,rshoulderZ,relbowX,relbowY,relbowZ,rwristX,rwristY,rwristZ,rhandX,rhandY,rhandZ
-0.631383,-0.415986,490.608,7.27539,-0.00317728,0.633854,-0.00381864,-0.00158864,0.302552,0,0,0,-4.94785,-2.35764,-1.39546,0.418263,-0.414657,0.500316,-0.794411,0.0103191,0.270263,-0.397206,-0.0710766,0.11647,-5.53768,-2.58511,-4.92909,-3.2566,-1.37055,-3.24586,-0.181405,-1.21726,-0.598232,-0.0907026,-0.693147,0.150477
-3.3596,-3.18602,487.851,4.05008,-0.00982622,4.38544,-1.54331,-0.00491311,2.09327,0,0,0,5.25134,-4.47151,-2.12073,4.61567,-9.72089,-2.34148,-2.8758,6.07705,-1.57646,-1.4379,2.91085,-0.789516,3.61056,-3.57658,-3.37806,-2.02427,-10.3203,-1.90682,-0.826989,-7.03702,0.258858,-0.413495,-3.54941,0.567118
-7.35878,-8.79308,482.857,-2.24802,0.107875,10.417,-4.5486,0.0569758,4.97088,0,0,0,32.0295,-6.35457,-3.11915,12.9772,-34.7435,-8.20608,-6.85932,22.3857,-5.38487,-3.42966,10.9258,-2.65703,17.7872,-5.01176,-0.125403,-0.0319747,-23.0977,0.317725,-2.24686,-15.3379,1.68599,-1.12343,-7.62109,1.26181
-12.474,-14.631,479.153,-6.04757,0.728104,18.477,-6.35509,0.396457,8.8137,0,0,0,61.1861,-10.7453,-6.59497,23.8343,-61.2619,-14.5782,-12.9012,39.6523,-9.49344,-6.4506,19.4069,-4.66248,28.4505,-3.80307,0.0875631,4.28465,-35.0906,4.6227,-2.02961,-23.1262,4.51442,-1.0148,-11.4404,2.65835
-14.6293,-14.3934,480.363,-1.95664,1.90628,21.9211,-4.37388,0.980211,10.4466,0,0,0,74.9129,-17.0643,-1.70665,31.5485,-67.5795,-22.4177,-14.7987,43.7837,-14.6137,-7.39937,21.4419,-7.17977,17.199,1.99203,-10.0495,9.12851,-32.1741,8.68179,3.19124,-21.2078,7.31236,1.59562,-10.4926,4.07785
-7.65151,-5.11397,489.744,15.9516,1.815,8.32474,4.19427,0.452211,3.93585,0,0,0,48.0538,-22.3099,9.62714,27.8102,-34.6307,-25.3477,-9.68278,22.2801,-16.6034,-4.84139,10.8663,-8.17766,-16.3713,11.7833,-29.191,10.7504,-11.1451,8.8506,12.482,-7.47397,7.68411,6.24099,-3.73473,4.33744
3.40409,8.8526,501.516,38.3547,-1.19776,-14.9992,14.735,-2.32814,-7.22168,0,0,0,-2.8073,-35.6456,21.6543,24.126,22.3582,-29.0599,-4.97237,-14.9259,-19.1719,-2.48619,-7.43627,-9.48195,-55.1884,16.1749,-53.8467,4.11277,9.63166,0.25121,23.7762,6.13961,2.39123,11.8881,2.97735,1.82851
8.88012,17.4163,502.584,39.757,-3.14538,-27.8689,15.233,-3.85398,-13.3818,0,0,0,-55.5452,-58.8332,25.2137,27.677,76.1238,-32.2759,-6.89962,-50.1714,-21.427,-3.44981,-24.8159,-10.6378,-60.3755,11.7182,-54.5699,-3.5635,13.0072,-7.79357,23.4251,8.44052,-2.80779,11.7125,4.13849,-0.712552
7.77512,15.3432,491.988,14.7204,-0.3748,-22.0099,3.48946,-1.11559,-10.5884,0,0,0,-93.7574,-79.8696,24.8451,33.2785,103.769,-34.0112,-10.768,-68.6635,-22.7525,-5.38399,-34.0405,-11.3506,-20.5007,8.61976,-13.4395,-3.74248,10.9075,-4.52225,3.57511,7.17625,-1.07218,1.78756,3.54807,0.0245521
1.0231,7.35906,481.208,-11.357,3.109,-1.13119,-8.66438,2.25629,-0.610138,0,0,0,-79.9982,-78.7033,21.4749,35.442,80.6227,-32.4986,-13.0356,-53.861,-21.9099,-6.51781,-26.8454,-10.9843,15.7195,2.62708,26.5545,-7.95803,14.41,-4.16919,-16.1513,9.57358,-1.24103,-8.07567,4.75961,-0.176032
